Open,High,Low,Close,OUTPUT
1318.212,1318.371,1317.819,1317.901,1
1317.901,1317.902,1317.081,1317.111,1
1317.111,1317.242,1316.771,1316.791,1
1316.791,1317.232,1316.771,1316.821,0
1316.831,1316.831,1315.368,1315.871,1
1315.871,1316.212,1315.521,1315.922,0
1315.912,1315.962,1314.861,1315.191,1
1315.192,1315.281,1313.771,1313.771,1
1313.811,1314.121,1312.771,1313.011,1
1313.032,1314.299,1312.901,1313.701,0
1313.702,1313.832,1313.181,1313.611,1
1313.622,1313.652,1312,1312.201,1
1312.312,1312.892,1312,1312.772,0
1312.771,1312.772,1312.291,1312.292,1
1312.299,1312.401,1312,1312.102,1
1312.112,1313.142,1312.001,1313.119,0
1313.101,1313.199,1312.958,1313.002,1
1313.001,1313.002,1312.539,1312.602,1
1312.591,1313.712,1312.581,1313.661,0
1313.662,1314.092,1313.561,1313.751,0
1313.672,1313.999,1313.569,1313.898,0
1313.878,1314.662,1313.878,1314.341,0
1314.442,1314.451,1314.031,1314.262,1
1314.251,1314.272,1313.779,1314.071,1
1314.062,1314.071,1313.441,1313.732,1
1313.731,1313.752,1312.281,1312.282,1
1312.282,1313.501,1312.281,1313.391,0
1313.401,1313.702,1313.181,1313.271,1
1313.272,1313.482,1313.261,1313.471,0
1313.472,1313.892,1313.461,1313.681,0
1313.682,1313.921,1313.581,1313.872,0
1313.871,1314.042,1313.771,1314.042,0
1314.041,1314.071,1313.558,1313.601,1
1313.602,1313.691,1313.561,1313.602,0
1313.592,1313.592,1313.052,1313.182,1
1313.171,1313.612,1313.102,1313.581,0
1313.581,1313.622,1313.468,1313.482,1
1313.481,1313.682,1313.281,1313.682,0
1313.682,1313.812,1313.671,1313.751,0
1313.752,1313.801,1313.662,1313.781,0
1313.781,1314.082,1313.682,1313.982,0
1313.981,1314.192,1313.981,1313.998,0
1313.998,1314.291,1313.751,1314.259,0
1314.238,1314.682,1314.138,1314.542,0
1314.541,1314.561,1314.371,1314.448,1
1314.441,1314.468,1314.249,1314.271,1
1314.272,1314.612,1313.981,1314.521,0
1314.522,1314.732,1314.479,1314.591,0
1314.592,1314.921,1314.391,1314.821,0
1314.802,1315.401,1314.741,1315.342,0
1315.341,1315.342,1315.081,1315.081,1
1315.081,1315.099,1314.521,1314.532,1
1314.531,1314.928,1314.462,1314.772,0
1314.769,1314.828,1314.549,1314.592,1
1314.571,1314.661,1313.219,1313.362,1
1313.351,1313.571,1312.892,1313.542,0
1313.542,1314.021,1313.371,1314.001,0
1313.992,1314.102,1313.481,1313.522,1
1313.521,1313.742,1312.982,1313.042,1
1313.041,1313.261,1313.001,1313.192,0
1313.171,1313.322,1312.179,1312.191,1
1312.191,1312.521,1312,1312.421,0
1312.422,1312.582,1312.281,1312.422,0
1312.421,1312.791,1312.411,1312.591,0
1312.591,1313.111,1312.531,1313.008,0
1313.008,1313.142,1312.791,1312.911,1
1312.912,1313.261,1312.881,1313.259,0
1313.252,1314.238,1313.138,1313.968,0
1313.959,1314.138,1313.648,1313.731,1
1313.732,1313.732,1312.921,1312.941,1
1312.941,1313.162,1312.728,1312.951,0
1312.952,1313.732,1312.939,1313.632,0
1313.631,1314.129,1313.421,1314.022,0
1314.021,1314.238,1313.611,1314.208,0
1314.101,1314.302,1313.981,1314.298,0
1314.298,1314.722,1314.298,1314.688,0
1314.698,1314.728,1313.952,1314.688,1
1314.688,1315.038,1314.611,1314.799,0
1314.778,1315.131,1314.761,1314.778,0
1314.778,1314.778,1314.371,1314.501,1
1314.491,1314.601,1314.101,1314.502,0
1314.512,1314.671,1314.301,1314.622,0
1314.642,1315.042,1314.521,1314.712,0
1314.711,1314.731,1314.131,1314.328,1
1314.328,1314.782,1314.271,1314.562,0
1314.562,1314.608,1313.898,1313.912,1
1313.901,1314.598,1313.901,1314.598,0
1314.598,1314.798,1314.462,1314.462,1
1314.471,1314.812,1314.471,1314.792,0
1314.791,1314.882,1314.471,1314.571,1
1314.562,1314.562,1314.148,1314.351,1
1314.352,1314.392,1314.172,1314.202,1
1314.201,1314.322,1313.918,1314.091,1
1314.081,1314.282,1313.981,1314.091,0
1314.091,1314.359,1313.981,1314.158,0
1314.158,1314.681,1313.859,1314.581,0
1314.582,1314.792,1314.518,1314.761,0
1314.762,1314.958,1314.691,1314.958,0
1314.958,1314.958,1314.471,1314.478,1
1314.478,1314.809,1314.468,1314.682,0
1314.682,1314.692,1314.541,1314.602,1
1314.592,1314.592,1313.869,1314.101,1
1314.101,1314.332,1313.979,1313.991,1
1313.991,1314.121,1313.789,1313.981,1
1313.981,1314.002,1313.571,1313.811,1
1313.831,1314.092,1313.828,1313.991,0
1314.002,1314.072,1313.838,1313.891,1
1313.892,1314.389,1313.761,1314.032,0
1314.031,1314.619,1313.881,1314.028,1
1314.028,1314.229,1313.728,1313.829,1
1313.829,1314.009,1313.618,1313.988,0
1313.988,1314.039,1313.688,1314.009,0
1314.009,1314.219,1313.808,1314.218,0
1314.218,1314.329,1314.078,1314.198,1
1314.209,1314.682,1314.171,1314.662,0
1314.661,1314.792,1314.631,1314.762,0
1314.778,1314.849,1314.468,1314.792,0
1314.791,1314.909,1314.479,1314.871,0
1314.899,1315.989,1314.841,1315.979,0
1315.979,1316.248,1315.618,1315.641,1
1315.628,1315.881,1315.621,1315.719,0
1315.719,1316.472,1315.711,1316.461,0
1316.462,1317.469,1316.249,1317.431,0
1317.442,1317.478,1317.019,1317.278,1
1317.278,1317.421,1316.892,1317.361,0
1317.332,1317.412,1316.649,1316.751,1
1316.782,1316.911,1315.301,1315.902,1
1315.911,1315.959,1315.481,1315.959,0
1315.932,1316.788,1315.911,1316.642,0
1316.649,1317.089,1316.579,1316.768,0
1316.768,1316.769,1313.351,1314.091,1
1314.108,1314.879,1314.108,1314.791,0
1314.798,1315.212,1314.468,1315.199,0
1315.199,1315.652,1314.808,1315.242,0
1315.242,1315.651,1315.179,1315.332,0
1315.342,1315.868,1315.329,1315.752,0
1315.742,1316.188,1315.562,1316.181,0
1316.181,1316.378,1315.171,1315.271,1
1315.218,1316.309,1315.171,1315.962,0
1315.961,1316.472,1315.768,1316.361,0
1316.369,1316.401,1315.961,1316.161,1
1316.162,1316.309,1315.471,1315.671,1
1315.671,1315.981,1314.981,1315.808,0
1315.862,1316.391,1315.661,1316.368,0
1316.368,1316.572,1316.061,1316.091,1
1316.092,1316.491,1315.189,1316.201,0
1316.202,1317.781,1316.112,1317.101,0
1317.088,1317.262,1316.788,1316.968,1
1316.968,1317.911,1316.968,1317.789,0
1317.768,1317.799,1317.441,1317.531,1
1317.532,1317.631,1316.511,1316.721,1
1316.721,1317.342,1316.608,1317.001,0
1317.002,1317.521,1316.481,1317.481,0
1317.472,1317.721,1317.268,1317.521,0
1317.578,1317.892,1316.972,1317.082,1
1317.092,1317.252,1316.771,1316.871,1
1316.868,1316.868,1314.871,1315.802,1
