C1 BodySize,C1 WicksUp,C1 WicksDown,C1 CandleType,C2 BodySize,C2 WicksUp,C2 WicksDown,C2 CandleType,C3 BodySize,C3 WicksUp,C3 WicksDown,C3 CandleType,P0ICTION OUTPUT
0.58,0.027,0.043,0,0.151,0.04,0.173,1,0.289,0.231,0.011,0,0
0.151,0.04,0.173,1,0.289,0.231,0.011,0,0.23,0.071,0.013,0,1
0.289,0.231,0.011,0,0.23,0.071,0.013,0,0.14,0.259,0.064,1,0
0.23,0.071,0.013,0,0.14,0.259,0.064,1,0.13,0.031,0.293,0,1
0.14,0.259,0.064,1,0.13,0.031,0.293,0,0.49,0.071,0.023,1,0
0.13,0.031,0.293,0,0.49,0.071,0.023,1,0.043,0,0.208,0,0
0.49,0.071,0.023,1,0.043,0,0.208,0,0.41,0.011,0.1,0,0
0.043,0,0.208,0,0.41,0.011,0.1,0,0.31,0,0.12,0,0
0.41,0.011,0.1,0,0.31,0,0.12,0,0.01,0.1,0.13,0,1
0.31,0,0.12,0,0.01,0.1,0.13,0,0.26,0.047,0.041,1,0
0.01,0.1,0.13,0,0.26,0.047,0.041,1,0.249,0.048,0.011,0,0
0.26,0.047,0.041,1,0.249,0.048,0.011,0,0.703,0.051,0.127,0,0
0.249,0.048,0.011,0,0.703,0.051,0.127,0,0.286,0.001,0.021,0,1
0.703,0.051,0.127,0,0.286,0.001,0.021,0,0.129,0.031,0.181,1,0
0.286,0.001,0.021,0,0.129,0.031,0.181,1,0.507,0.081,0.02,0,1
0.129,0.031,0.181,1,0.507,0.081,0.02,0,0.221,0.119,0.073,1,1
0.507,0.081,0.02,0,0.221,0.119,0.073,1,0.81,0.047,0.001,1,1
0.221,0.119,0.073,1,0.81,0.047,0.001,1,0.689,0.114,0.081,1,0
0.81,0.047,0.001,1,0.689,0.114,0.081,1,0.296,0.011,0.32,0,0
0.689,0.114,0.081,1,0.296,0.011,0.32,0,0.069,0.261,0.061,0,1
0.296,0.011,0.32,0,0.069,0.261,0.061,0,0.07,0.007,0.19,1,1
0.069,0.261,0.061,0,0.07,0.007,0.19,1,0.01,0.17,0.111,1,1
0.07,0.007,0.19,1,0.01,0.17,0.111,1,0.12,0.071,0.233,1,1
0.01,0.17,0.111,1,0.12,0.071,0.233,1,0.059,0.211,0.061,1,1
0.12,0.071,0.233,1,0.059,0.211,0.061,1,0.12,0.2,0.19,1,1
0.059,0.211,0.061,1,0.12,0.2,0.19,1,0.54,0.12,0.211,1,0
0.12,0.2,0.19,1,0.54,0.12,0.211,1,0.4,0.001,0.12,0,1
0.54,0.12,0.211,1,0.4,0.001,0.12,0,0.321,0.09,0.182,1,0
0.4,0.001,0.12,0,0.321,0.09,0.182,1,0.491,0.49,0,0,1
0.321,0.09,0.182,1,0.491,0.49,0,0,0.21,0.278,0.023,1,1
0.491,0.49,0,0,0.21,0.278,0.023,1,0.429,0.073,0.041,1,1
0.21,0.278,0.023,1,0.429,0.073,0.041,1,0.243,0.038,0.246,1,1
0.429,0.073,0.041,1,0.243,0.038,0.246,1,0.089,0.261,0.191,1,1
0.243,0.038,0.246,1,0.089,0.261,0.191,1,0.772,0.02,0.017,1,1
0.089,0.261,0.191,1,0.772,0.02,0.017,1,0.049,0.021,0.404,1,0
0.772,0.02,0.017,1,0.049,0.021,0.404,1,0.13,0.251,0.263,0,0
0.049,0.021,0.404,1,0.13,0.251,0.263,0,0.64,0.111,0.11,0,1
0.13,0.251,0.263,0,0.64,0.111,0.11,0,0.797,0.084,0.03,1,1
0.64,0.111,0.11,0,0.797,0.084,0.03,1,0.037,0.484,0.41,1,1
0.797,0.084,0.03,1,0.037,0.484,0.41,1,0.111,0.326,0.099,1,1
0.037,0.484,0.41,1,0.111,0.326,0.099,1,0.13,0.211,0.042,1,0
